Model,Score
GeForce RTX 4090,38616
GeForce RTX 4090 D,37631
GeForce RTX 4080,34611
GeForce RTX 4080 SUPER,34054
GeForce RTX 4070 Ti,31769
GeForce RTX 4070 Ti SUPER,31738
Radeon RX 7900 XTX,30930
GeForce RTX 4070 SUPER,29977
GeForce RTX 3090 Ti,29745
Radeon PRO W7900,29191
Radeon RX 7900 XT,28849
Radeon PRO W7800,28601
RTX 6000 Ada Generation,28305
Radeon RX 6950 XT,28290
RTX 4500 Ada Generation,28261
GeForce RTX 4090 Laptop GPU,27875
GeForce RTX 3080 Ti,27172
GeForce RTX 4070,26977
Radeon RX 6900 XT,26841
GeForce RTX 3090,26788
GeForce RTX 3080 12GB,26681
Radeon RX 7900 GRE,26392
GeForce RTX 4080 Laptop GPU,25339
GeForce RTX 3080,25279
RTX 4000 Ada Generation,25073
Radeon RX 6800 XT,25032
RTX 5000 Ada Generation,24931
Radeon RX 7800 XT,24132
RTX 5000 Ada Generation Laptop GPU,24072
GeForce RTX 3070 Ti,23641
RTX 4000 Ada Generation Laptop GPU,22960
GeForce RTX 4060 Ti,22932
GeForce RTX 4060 Ti 16GB,22925
RTX A5000,22816
GeForce RTX 3070,22385
Radeon RX 7700 XT,22323
Radeon RX 6800,22281
Radeon RX 7900M,22112
RTX A6000,22072
NVIDIA A10,22064
GRID RTX6000-6Q,21987
RTX A4500,21782
GeForce RTX 2080 Ti,21780
Radeon 610M Ryzen 9 7845HX,21623
RTX A5500,21495
RTX 4000 SFF Ada Generation,21282
Radeon RX 6750 XT,20756
Radeon RX 6750 GRE 10GB,20644
GeForce RTX 3060 Ti,20534
Radeon PRO W7700,20016
TITAN RTX,19918
Radeon RX 6700 XT,19884
Radeon PRO W6800,19878
GeForce RTX 3080 Ti Laptop GPU,19875
Quadro GV100,19824
RTX 3500 Ada Generation Laptop GPU,19753
TITAN V,19743
Radeon RX 6750 GRE 12GB,19732
L40-8Q,19705
GeForce RTX 4070 Laptop GPU,19615
GeForce RTX 4060,19585
GeForce RTX 2080 SUPER,19585
Quadro RTX 8000,19480
RTX A4000,19397
TITAN Xp COLLECTORS EDITION,19071
Radeon RX 6700,18977
GeForce RTX 2080,18795
Quadro RTX 6000,18776
GeForce GTX 1080 Ti,18563
NVIDIA TITAN Xp,18513
NVIDIA A10G,18488
GeForce RTX 2070 SUPER,18249
GeForce RTX 3070 Ti Laptop GPU,18079
Radeon PRO W7600,18058
RTX 2000 Ada Generation,17901
A40-48Q,17864
GeForce RTX 4060 Laptop GPU,17693
RTX A4500 Laptop GPU,17632
Radeon Pro W5700X,17591
RTX A5500 Laptop GPU,17484
Radeon RX 7600 XT,17421
Radeon RX 6650 XT,17278
Radeon RX 6850M XT,17192
GeForce RTX 3060 12GB,17036
TITAN V CEO Edition,16988
Radeon VII,16690
Radeon RX 5700 XT,16628
Radeon RX 5700 XT 50th Anniversary,16615
GeForce RTX 2060 SUPER,16557
Radeon RX 6600 XT,16499
GeForce RTX 3080 Laptop GPU,16471
Quadro GP100,16374
Radeon RX 7600,16327
Tesla V100-SXM2-16GB,16235
GeForce RTX 2070,16162
RTX 3000 Ada Generation Laptop GPU,16058
RTX A5000 Laptop GPU,16041
Radeon Pro Vega II Duo,15977
Quadro RTX 5000,15965
Miracast display port driver V3,15910
Radeon RX 7700S,15900
GeForce RTX 2060 12GB,15892
Radeon PRO W6600,15824
Radeon Pro Vega II,15597
GeForce GTX 1080,15539
GeForce RTX 3070 Laptop GPU,15487
Radeon RX 6800S,15446
RTX A4000 Laptop GPU,15440
RTX 2000 Ada Generation Laptop GPU,15415
Quadro RTX 4000,15396
GeForce RTX 3060 8GB,15386
Radeon Pro W5700,15197
Quadro P6000,15133
Radeon RX 6600,15133
GeForce RTX 2080 (Mobile),15107
Radeon RX 6650M,15004
Radeon RX 6700S,14923
Quadro RTX 5000 (Mobile),14832
GeForce GTX 1070 Ti,14685
NVIDIA A40,14665
RTX A3000 12GB Laptop GPU,14488
Radeon RX 5700,14479
GeForce RTX 4050 Laptop GPU,14400
Radeon RX Vega 64,14353
Radeon RX 7600S,14172
GeForce RTX 2060,14150
RTX 1000 Ada Generation Laptop GPU,13982
RadeonT RX 6850M XT,13848
Radeon Pro WX 8200,13835
GeForce GTX 980 Ti,13809
GeForce RTX 2080 Super with Max-Q Design,13802
GeForce RTX 2070 Super with Max-Q Design,13779
RTX A2000,13754
Radeon PRO W7500,13722
Radeon Pro Vega 64X,13709
RTX A2000 12GB,13702
Radeon RX 6600M,13690
Radeon RX 6600S,13678
Radeon RX 5600 XT,13667
NVIDIA TITAN X,13660
Quadro RTX 5000 with Max-Q Design,13644
Radeon PRO W6600M,13549
GeForce GTX 1070,13514
Radeon RX 6700M,13465
GeForce RTX 3060 Laptop GPU,13371
Radeon RX 6800M,13288
