Name,Image URL,Tags,CPU_Score,GPU_Score,Min. RAM (GB)
Counter-Strike 2,https://cdn.akamai.steamstatic.com/steam/apps/730/capsule_231x87.jpg?t=1719426374,Action;FPS;Free to Play,2948,4047,8
Banana,https://cdn.akamai.steamstatic.com/steam/apps/2923300/capsule_231x87.jpg?t=1719617359,Casual;Indie;Free to Play,2836,238,2
ELDEN RING,https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/capsule_184x69.jpg,Action;RPG,9070,9134,12
Dota 2,https://cdn.cloudflare.steamstatic.com/steam/apps/570/capsule_184x69.jpg,MOBA;Free to Play,1788,338,4
Destiny 2,https://cdn.cloudflare.steamstatic.com/steam/apps/1085660/capsule_184x69.jpg,Action;MMO;Free to Play,2072,4047,6
Team Fortress 2,https://cdn.cloudflare.steamstatic.com/steam/apps/440/capsule_184x69.jpg,Action;Free to Play,829,0,0.512
Rust,https://cdn.cloudflare.steamstatic.com/steam/apps/252490/capsule_184x69.jpg,Survival;Open World;Free to Play,6359,4836,10
PUBG: BATTLEGROUNDS,https://cdn.cloudflare.steamstatic.com/steam/apps/578080/capsule_184x69.jpg,Battle Royale;Shooter;Free to Play,4170,5998,8
Call of Duty ,https://cdn.cloudflare.steamstatic.com/steam/apps/1938090/capsule_184x69.jpg,Action;Shooter,4967,4836,8
Cats,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2977660/header.jpg?t=1718534797,Casual;Simulation;Free to Play,1602,338,2
Grand Theft Auto V,https://cdn.cloudflare.steamstatic.com/steam/apps/271590/capsule_184x69.jpg,Open World;Action,2837,535,4
Apex Legends ,https://cdn.cloudflare.steamstatic.com/steam/apps/1172470/capsule_184x69.jpg,Battle Royale;Shooter;Free to Play,4111,1027,6
Tom Clancy's Rainbow Six  Siege,https://cdn.cloudflare.steamstatic.com/steam/apps/359550/capsule_184x69.jpg,Tactical;Shooter,2832,1958,6
Baldur's Gate 3,https://cdn.cloudflare.steamstatic.com/steam/apps/1086940/capsule_184x69.jpg,RPG;Fantasy,5684,4290,8
Stardew Valley,https://cdn.cloudflare.steamstatic.com/steam/apps/413150/capsule_184x69.jpg,RPG;Simulation,1085,361,4
7 Days to Die,https://cdn.cloudflare.steamstatic.com/steam/apps/251570/capsule_184x69.jpg,Survival;Open World,5119,4047,8
Palworld,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1623730/header.jpg?t=1719480904,Action;RPG,3430,3908,8
War Thunder,https://cdn.cloudflare.steamstatic.com/steam/apps/236390/capsule_184x69.jpg,MMO;Vehicle Combat;Free to Play,3430,4047,4
Wallpaper Engine,https://cdn.cloudflare.steamstatic.com/steam/apps/431960/capsule_184x69.jpg,Software;Simulation,3430,4047,2
